id,キャンセル,名前,プロフィール/Your Profile,タイトル,トークの概要/Talk abstract,audience_level,発表資料の言語/Language of presentation materials,発表で使用する言語/Presentation language,発表日,時間,部屋,階数
45,0,Hayao Suzuki,株式会社アイリッジ所属。大学院でSage Mathを使うためにPythonを使い始めた。,SymPyによる数式処理,SymPyはPythonで実装された数式処理ライブラリです。Pythonが動く環境があれば簡単に複雑な微分や積分、行列の計算を自分のPCで実行することができます。この発表では、SymPyの使い方やその面白さを伝えます。,Intermediate,日本語と英語/Japanese and English,日本語/Japanese,2日目,11:15 - 12:00,特別会議室,3F
46,0,Hsiaoming Yang,Author of Authlib and maintainer of Flask web application framework and related libraries.,The Modern OAuth 2.0,"A detail introduction of the modern OAuth 2.0 framework. The history, the RFCs, and how to implement the provider in Python.",Intermediate,English Only,英語/English,1日目,15:45 - 16:15,特別会議室,3F
47,0,Parul Sethi,,Visualizing Topic Models,,All,,,2日目,16:30 - 17:00,小展示ホール,2F
48,0,Takayuki Shimizukawa,#beproud/#sphinxjp/#pyhack/Sphinxのコミッター。Pythonは2003年から使い始め、最近は公私ともにPythonを教える立場で多く活動している。,Webアプリケーションの仕組み,Webアプリ関連技術の仕組みについて紹介します。そこから、今のWebアプリケーション開発に使われるフレームワークやスタックの利点紹介します。仕組みを理解してさらに加速しましょう。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,1日目,13:30 - 14:15,コンベンションホール,4F
49,0,Luka Sterbic,Software Engineer @ Facebook London,Why you should care about types: Python Typing in the Facebook Backend,Why you should care about types: Python Typing in the Facebook Backend,All,English Only,英語/English,1日目,13:30 - 14:15,小展示ホール,2F
50,0,あべんべん,北海道（苫小牧）生まれ。現在は金融機関に所属。仕事の傍らで複数のエンジニア向コミュニティの運営や、テックイベントの企画、ブロックチェーンプロダクトの企画開発、執筆等に関わってます。,WILDCAT SDKは量子コンピュータビジネスの味方となるのか！？,量子コンピュータのライブラリもPythonが主流です。この発表では、国産量子コンピュータSDKであるWILDCATの解説と、量子コンピュータの今後の展望についてお話しします。,Intermediate,日本語のみ/Japanese Only,日本語/Japanese,2日目,14:30 - 15:00,C会議室,6F
51,0,Atsushi Odagiri,オープンコレクター,あなたと私いますぐパッケージン,"Pythonでパッケージを作成したり利用したりするためのツール群の説明と、パッケージング周りのPEPの更新から今後どのようにツールが更新されそうなのか解説します。 

- pypi リニューアル
- pip 18
- pipenv
- PEP 518",Beginner,日本語のみ/Japanese Only,日本語/Japanese,1日目,14:30 - 15:15,コンベンションホール,4F
52,0,Yukio Okuda,コンピュータを使い始めて４０数年、いろんな現場を経験して来たフリーランスです。,"オンザフライ高速化パッケージの比較：Numba, TensorFlow, Dask, etc","PythonのCPUバウンド処理を高速化する、オンザフライ・パッケージをCPU／CUDAで動かし、使いやすさ、問題点、高速化率をその基本と共にお話します。
",All,English Only,日本語/Japanese,1日目,14:30 - 15:15,小展示ホール,2F
53,0,千葉 竜介,学生時代の専門は数理最適化．メルカリ SysML チームで機械学習基盤を作っています．,メルカリにおける AI 活用事例,メルカリの機械学習基盤や機械学習サービスは主に Python 製です．それらについてかんたんに網羅的にお話しします．さらに，現在開発中の社内用の画像検索の仕組みについて詳しくお話しする予定です．,All,日本語のみ/Japanese Only,日本語/Japanese,1日目,15:45 - 16:15,D会議室,6F
54,0,本田勝寛,主にスタートアップにてソーシャルゲーム・アドテク・シェアリングエコノミー領域に携わる。現在リーガルテック領域にてサービス開発中。,契約書データ関連のAI開発に伴う、前処理及び匿名化処理についての実例,契約書データ(日本語)についてAI開発を推進するために、 データの前処理、及び匿名化をPythonにて作りました。 その一連のフローやデータの持ち方、処理の流れを紹介します。,Intermediate,日本語のみ/Japanese Only,日本語/Japanese,2日目,14:30 - 15:00,特別会議室,3F
55,0,杉山　剛,Python歴4年の独学趣味プログラマー。仕事は事務系サラリーマン歴30年。,自分が欲しいものをPythonで書く方法(Python for Myself),「何か作ってみたい。でもどうすればよいかがわからない」というPython初心者は多いです。ここでは基本を学んだ初心者が「自分が欲しいものをPythonで書く」ための方法についてお話しします。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,1日目,16:30 - 17:00,D会議室,6F
56,0,貫井 駿,競馬人工知能界のサラブレッド。好きな馬はハーツクライ。,実践・競馬データサイエンス,競馬は豊富な種類のデータが毎週追加されるという点で、機械学習の対象としてエキサイティングなドメインです。本講演では、2年間の競馬人工知能開発から得られた予測モデル構築の実践的なノウハウを紹介します。,Advanced,日本語と英語/Japanese and English,日本語/Japanese,1日目,13:30 - 14:15,A+B会議室,1F
57,0,谷津真樹/Masaki Yatsu,フリーランス・ソフトウェアエンジニアJ,複数アプリケーションのプロセスとログを管理するための新しいツールと手法,開発環境において必要な、軽量で手軽な複数アプリケーションの起動・連携管理、自動テスト、ログの集約・フィルタリングを行うためのツール「Jaffle」について解説します。また、開発環境のための新たな(デバッグ)ログ管理手法を提案します。,Intermediate,日本語と英語/Japanese and English,日本語/Japanese,2日目,14:30 - 15:00,A+B会議室,1F
58,0,森永雄也,東京大学総合文化研究科在学、機械学習によるNLPと情報検索を専攻。株式会社ヴァズにてインターン中のAIエンジニア見習い。,料理写真が美味しく撮れる！ 開発現場から覗くAI料理カメラの裏側,料理が「美味しそう！」に撮れる瞬間を教えてくれるAI料理カメラは、お料理SNSであるSnapDishの目玉機能です。背景技術から現場の試行錯誤まで、AI料理カメラの裏側を担当エンジニアがお話しします。,Intermediate,日本語と英語/Japanese and English,日本語/Japanese,2日目,16:30 - 17:00,特別会議室,3F
