iter	Passed	Remaining
846	3753	677
847	3754	673
848	3755	667
849	3757	663
850	3758	658
851	3762	653
852	3763	648
853	3767	644
854	3769	639
855	3773	634
856	3774	629
857	3776	624
858	3780	620
859	3784	616
860	3786	611
861	3795	607
862	3804	603
863	3810	599
864	3812	594
865	3819	590
866	3820	586
867	3822	581
868	3826	576
869	3828	572
870	3830	567
871	3835	563
872	3836	558
873	3838	553
874	3840	548
875	3844	544
876	3846	539
877	3850	535
878	3851	530
879	3852	525
880	3854	520
881	3856	515
882	3858	511
883	3862	506
884	3863	502
885	3865	497
886	3866	492
887	3867	487
888	3869	483
889	3872	478
890	3877	474
891	3878	469
892	3880	464
893	3884	460
894	3887	456
895	3888	451
896	3892	447
897	3901	443
898	3907	439
899	3911	434
900	3917	430
901	3922	426
902	3925	421
903	3928	417
904	3932	412
905	3934	408
906	3936	403
907	3938	399
908	3942	394
909	3944	390
910	3945	385
911	3946	380
912	3950	376
913	3954	372
914	3958	367
915	3959	363
916	3964	358
917	3966	354
918	3970	349
919	3975	345
920	3976	341
921	3978	336
922	3980	332
923	3982	327
924	3983	323
925	3989	318
926	3991	314
927	3995	310
928	3997	305
929	4001	301
930	4006	296
931	4020	293
932	4028	289
933	4032	284
934	4037	280
935	4039	276
936	4044	271
937	4045	267
938	4050	263
939	4052	258
940	4054	254
941	4057	249
942	4082	246
943	4090	242
944	4092	238
945	4094	233
946	4103	229
947	4106	225
948	4109	220
949	4112	216
950	4114	212
951	4119	207
952	4123	203
953	4127	199
954	4129	194
955	4133	190
956	4137	185
957	4139	181
958	4141	177
959	4143	172
960	4146	168
961	4150	163
962	4153	159
963	4155	155
964	4158	150
965	4160	146
966	4162	142
967	4163	137
968	4166	133
969	4168	128
970	4170	124
971	4172	120
972	4174	115
973	4178	111
974	4196	107
975	4199	103
976	4205	99
977	4207	94
978	4209	90
979	4211	85
980	4217	81
981	4220	77
982	4222	73
983	4225	68
984	4229	64
985	4233	60
986	4237	55
987	4241	51
988	4246	47
989	4250	42
990	4255	38
991	4258	34
992	4260	30
993	4265	25
994	4267	21
995	4268	17
996	4272	12
997	4274	8
998	4279	4
999	4281	0
